AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,Room
0,0,0,0,0,0,-82,-69,-90,-66,-65,-58,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,0,-67,-84,-64,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,0,-76,-83,-77,-64,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,-76,-71,-86,-69,-72,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,-84,-59,-89,-78,-72,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,0,-76,-89,0,-68,-62,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
0,0,0,0,0,0,-75,-78,-88,-71,-74,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111
-67,-76,-74,0,-71,-68,-79,0,-81,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,-80,0,0,0,-85,0,0,0,0,232
-79,0,0,0,-76,-71,0,0,0,-70,0,0,0,0,-72,-81,0,0,0,-86,0,0,0,0,0,0,0,0,-81,0,0,0,0,232
-61,-71,0,0,-71,-59,-77,-82,-86,-70,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
-73,-78,-67,-82,-70,-75,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
-80,0,0,-89,0,-74,0,0,0,-77,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
-75,-82,0,0,-73,-83,-82,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
0,0,0,0,0,0,0,0,0,0,0,0,-66,-71,-55,-45,-56,-67,-57,-66,0,-73,-81,0,0,0,0,0,-68,0,0,0,0,233
0,0,0,0,0,-85,0,0,0,0,0,0,-69,-66,-49,-59,-64,0,-64,-66,0,0,0,0,-80,0,0,0,-58,-85,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-67,-64,-52,-54,-50,-83,-63,-74,0,-82,0,0,-79,0,0,0,-62,-73,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-51,-52,-53,-62,-61,-66,0,0,-82,0,-75,0,0,0,-72,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-68,-61,-52,-65,-52,0,-64,-74,0,-79,-83,0,0,0,0,0,-73,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-74,-79,-62,-73,-48,-76,0,-77,0,0,0,0,0,0,0,0,-64,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-78,-73,-53,-62,-49,-73,-65,-75,0,-85,0,0,0,0,0,0,-79,0,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-79,-76,-45,-63,-52,-71,-72,-69,0,0,0,0,0,0,0,0,-71,-86,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,0,-59,-64,-50,-56,-64,-71,-66,-76,0,-86,-77,0,-77,0,0,0,-72,0,0,0,0,2121
0,0,0,0,0,0,0,0,0,0,0,0,-71,-54,-68,-54,-60,-63,-69,-74,0,-82,-77,0,0,0,0,0,-80,0,0,0,0,2121
0,0,0,0,0,0,0,0,0,0,0,0,-60,-50,-49,-51,-62,-64,-61,-67,0,-78,-72,0,-74,0,0,0,-71,-87,0,0,0,2121
0,0,0,0,0,0,0,0,0,0,0,0,-64,-56,-58,-58,-66,-67,-64,-75,0,-86,-75,0,-76,0,0,0,-71,0,0,0,0,2121
0,0,0,0,0,0,0,0,0,0,0,0,-60,-66,-58,-53,-70,-63,-63,-68,-79,-81,-76,0,0,0,0,0,-78,0,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,0,-62,-56,-54,-46,0,-58,-60,-73,0,-74,-75,0,-71,0,0,0,-70,-85,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,0,-58,-56,-58,-46,0,-59,-51,-71,0,-72,-73,0,-72,0,0,0,-71,0,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,0,-69,-60,-53,-43,0,-55,-54,-71,0,-72,-79,0,-74,0,0,0,-76,0,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,0,-78,-75,-62,-60,-64,-66,-63,0,0,-77,-72,0,-78,0,0,0,-81,0,0,0,0,2141
0,0,0,0,0,0,0,0,0,0,0,0,-69,-77,-57,-62,-66,-75,-59,-79,0,-77,-80,0,0,0,0,0,-79,0,0,0,0,2141
0,0,0,0,0,0,0,0,0,0,0,0,-66,0,-58,-61,0,-77,-49,-81,0,-75,-83,0,-71,0,0,0,-83,0,0,0,0,2141
0,0,0,0,0,0,0,0,0,0,0,0,-66,-73,-57,-65,-64,-67,-53,-76,0,-78,-77,0,-77,0,0,0,-79,0,0,0,0,2141
0,0,0,0,0,0,0,0,0,0,0,0,0,-69,-59,-53,-61,-69,-44,-69,0,-66,-72,0,-69,0,0,0,-76,0,0,0,0,2151
0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-54,-60,0,-74,-43,-65,0,-69,-74,0,-75,0,0,0,-75,0,0,0,0,2151
0,0,0,0,0,0,0,0,0,0,0,0,-68,-64,-61,-56,0,-77,-47,-77,-66,-65,-72,0,-75,0,0,0,0,0,0,0,0,2151
0,0,0,0,0,0,0,0,0,0,0,0,-72,-67,-66,-58,-72,-75,-40,-70,-72,-65,-72,0,-71,0,0,0,-79,0,0,0,0,2151
0,0,0,0,0,0,0,0,0,0,0,0,-79,-72,-65,-66,0,-73,-57,-77,-74,-55,-70,0,-69,0,0,0,-83,0,0,0,0,2161
0,0,0,0,0,0,0,0,0,0,0,0,-85,-88,-68,-73,0,-87,0,0,-60,-48,-63,0,-61,-84,0,0,0,0,0,0,0,2161
0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,-64,0,-85,-54,0,-67,-51,-70,0,-70,0,0,0,-82,0,0,0,0,2161
0,0,0,0,0,0,0,0,0,0,0,0,-85,-79,-72,-68,0,0,-54,0,-53,-46,-62,0,0,-83,0,0,0,0,0,0,0,2161
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-78,0,-82,-66,0,-58,-54,-70,0,-77,0,0,0,0,0,0,0,0,2171
0,0,0,0,0,0,0,0,0,0,0,0,-83,-84,-75,-78,0,-81,0,0,0,-53,-72,0,-76,0,0,0,0,0,0,0,0,2171
0,0,0,0,0,0,0,0,0,0,0,0,-82,0,-75,-75,0,-76,0,0,-59,-59,-75,0,0,0,0,0,0,0,0,0,0,2171
0,0,0,0,0,0,0,0,0,0,0,0,-84,0,-73,-76,0,0,-72,0,-57,-56,-73,0,0,0,0,0,0,0,0,0,0,2171
0,0,0,0,0,0,0,0,0,0,0,0,-85,0,-73,-78,0,-73,0,0,0,-59,-75,0,-82,0,0,0,0,0,0,0,0,2171
0,0,0,0,0,0,0,0,0,0,0,0,-88,0,-72,0,0,-89,0,0,-62,-65,-60,0,-72,0,0,0,0,0,0,0,0,2181
0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,-81,0,0,0,-62,-59,0,-76,0,0,0,0,0,0,0,0,2181
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,-71,-63,0,-67,0,0,0,0,0,0,0,0,2181
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-58,0,-70,0,0,0,0,0,0,0,0,2191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-59,0,-69,0,0,0,0,0,0,0,0,2191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,-79,-56,0,-64,0,0,0,0,0,0,0,0,2191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-77,0,-88,0,0,0,-80,-54,0,-75,-80,0,0,0,0,0,0,0,2201
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,-81,0,-49,0,-68,0,0,0,0,0,0,0,0,2201
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-47,0,-73,-83,0,0,0,0,0,0,0,2201
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-81,-48,0,-67,0,0,0,0,0,0,0,0,2201
0,0,0,0,0,0,0,0,0,0,0,0,-80,-83,-83,0,0,0,0,0,0,-77,-51,0,-72,-89,0,0,0,0,0,0,0,2201
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,-64,-53,-59,-46,-73,-80,0,0,0,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-80,0,0,0,0,-79,-80,-57,-62,-44,-65,-79,0,0,0,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,-76,-69,-56,-64,-47,-68,0,0,0,0,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,-55,-65,-50,-68,-78,0,0,0,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-77,-56,0,-43,-56,-76,0,0,0,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-84,-80,0,0,0,0,0,-74,-50,-63,-44,-66,0,-61,0,0,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-59,-61,-48,0,-81,-67,0,-86,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-78,0,0,0,0,0,-66,-46,0,-41,-62,-77,0,-82,-85,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-81,0,0,0,0,0,-79,-48,-57,-48,-65,-75,0,0,0,0,0,0,231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-61,-56,-46,-64,-65,-61,-75,-82,0,0,0,234
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,-82,0,0,0,-63,-49,-44,-60,-62,-59,-75,-83,0,0,0,234
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,-55,-45,-39,-59,-76,0,-83,-82,0,0,0,234
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-65,-46,-42,-70,-71,-75,-76,-84,0,0,0,234
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-68,0,-48,-45,-68,-53,0,-74,0,0,0,2211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-50,-44,-44,-71,0,-81,-82,0,0,0,2211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,-52,-51,-45,-66,-57,-80,-83,0,0,0,2211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,-52,-70,-60,-80,-81,0,0,0,2211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-59,-36,-52,-60,0,-74,-79,0,0,0,2221
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,-95,0,0,0,0,-74,-56,-57,-62,-56,-61,-76,-76,-72,0,0,2221
0,0,0,0,0,0,0,0,0,0,0,0,-91,0,-75,-81,0,0,0,0,0,0,-64,-61,-44,-62,-54,-53,-75,-79,0,0,0,2221
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,-60,-56,-69,-49,0,-77,-76,0,0,0,2231
