AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,Room
0,0,0,0,0,0,0,0,0,0,0,0,-67,-69,-47,0,0,0,-67,-68,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
0,0,0,0,0,0,0,0,0,0,0,0,-57,-51,-79,0,0,-76,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121
0,0,0,0,0,0,0,0,0,0,0,0,-60,-62,-75,0,-78,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121
0,0,0,0,0,0,0,0,0,0,0,-88,-55,-66,0,-77,-71,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121
0,0,0,0,0,0,0,0,0,0,0,0,-61,-69,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121
0,0,0,0,0,0,0,0,0,0,0,0,-59,-66,-74,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121
0,0,0,0,0,0,0,0,0,0,0,0,-68,-61,-72,0,0,0,-82,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121
0,0,0,0,0,0,0,-88,0,0,0,0,-51,-55,-66,0,0,0,-83,-82,-89,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
0,0,0,0,0,0,0,0,0,0,0,-92,-44,-63,-71,0,0,0,-85,-84,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
0,0,0,0,0,0,0,0,0,0,0,0,-41,-47,-63,0,-85,0,-75,-68,-83,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
0,0,0,0,0,0,0,0,0,0,0,0,-38,-46,-62,0,-83,0,-79,-65,-90,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
